country,year,inflation,gdp_growth
ARG,1991,34.2772237131003,9.13311056738961
ARG,1992,34.2772237131003,7.93729155643076
ARG,1993,34.2772237131003,8.20697907221228
ARG,1994,34.2772237131003,5.83620070368526
ARG,1995,34.2772237131003,-2.84520961057079
ARG,1996,34.2772237131003,5.52668982715234
ARG,1997,34.2772237131003,8.1110467707457
ARG,1998,34.2772237131003,3.85017885156228
ARG,1999,34.2772237131003,-3.38545704063269
ARG,2000,34.2772237131003,-0.78899893905691
ARG,2001,34.2772237131003,-4.40883968258557
ARG,2002,34.2772237131003,-10.8944848285903
ARG,2003,34.2772237131003,8.83704079576924
ARG,2004,34.2772237131003,9.02957330068152
ARG,2005,34.2772237131003,8.85165992013437
ARG,2006,34.2772237131003,8.04715150043027
ARG,2007,34.2772237131003,9.00765087504757
ARG,2008,34.2772237131003,4.05723310346406
ARG,2009,34.2772237131003,-5.91852507634947
ARG,2010,34.2772237131003,10.1253981561002
ARG,2011,34.2772237131003,6.00395169280579
ARG,2012,34.2772237131003,-1.0264204544321
ARG,2013,34.2772237131003,2.40532378079436
ARG,2014,34.2772237131003,-2.51261532081394
ARG,2015,34.2772237131003,2.73115982828944
ARG,2016,34.2772237131003,-2.08032784377811
ARG,2017,34.2772237131003,2.81850297775918
ARG,2018,34.2772237131003,-2.61739646282038
ARG,2019,53.5483043492339,-2.00086100285785
ARG,2020,42.0150947376509,-9.9004848136464
ARG,2021,48.4093786255199,10.4418119882506
ARG,2022,72.430757531824,5.26987967384072
ARG,2023,133.488935594175,-1.61100162090189
ARG,2024,219.883929014578,-1.71910514722377
BRA,1991,432.786661926461,1.03218958549303
BRA,1992,951.962053052818,-0.54407204977727
BRA,1993,1927.38079016026,4.9246900037071
BRA,1994,2075.88839757325,5.85287036219013
BRA,1995,66.0070335542481,4.22379363350413
BRA,1996,15.7576656002606,2.20886405039022
BRA,1997,6.92671251629155,3.39484598630671
BRA,1998,3.1950762928005,0.338097901207306
BRA,1999,4.85844749902667,0.467937566477133
BRA,2000,7.04414105947266,4.38794944745618
BRA,2001,6.84035902487524,1.38989640095637
BRA,2002,8.45016437708332,3.05346185909312
BRA,2003,14.7149197228147,1.14082899824888
BRA,2004,6.59718509985963,5.75996463670954
BRA,2005,6.86953720898965,3.20213206130431
BRA,2006,4.18356812896909,3.96198871122617
BRA,2007,3.64127299102653,6.06987060678338
BRA,2008,5.67859390284167,5.09419544658736
BRA,2009,4.88803479876799,-0.125812002161169
BRA,2010,5.03872690108075,7.52822581815364
BRA,2011,6.63644962213086,3.97442307944702
BRA,2012,5.40349914037005,1.92117598576537
BRA,2013,6.20431066640096,3.00482266944432
BRA,2014,6.32904015516141,0.503955740242247
BRA,2015,9.02990102416137,-3.54576339269425
BRA,2016,8.73914352329392,-3.27591690782192
BRA,2017,3.44637335032668,1.32286905404399
BRA,2018,3.66485028376727,1.783666761634
BRA,2019,3.73297621216898,1.22077782360842
BRA,2020,3.21176803803373,-3.2767587964736
BRA,2021,8.30165975585677,4.76260437908608
BRA,2022,9.28010608956872,3.01669435393015
BRA,2023,4.59356282283203,3.24165532906981
BRA,2024,4.36746407652335,3.39586645454844
CHL,1991,21.7844124277757,7.75620189312957
CHL,1992,15.4258064688928,11.5019314370192
CHL,1993,12.7277669490964,6.6855844008042
CHL,1994,11.4431196444973,5.07680374667352
CHL,1995,8.23263034116113,9.25542757753573
CHL,1996,7.35911781788767,7.1148626270751
CHL,1997,6.13386464357928,7.3917392684331
CHL,1998,5.11024954517559,4.18088662700669
CHL,1999,3.33687917526024,-0.2736313981937
CHL,2000,3.84327295706565,4.9716214882971
CHL,2001,3.56910053001466,3.15403492459967
CHL,2002,2.48939816650705,3.20279913520113
CHL,2003,2.81017875743611,4.72324526861041
CHL,2004,1.05473871403517,6.67425416822923
CHL,2005,3.0525762138785,5.83704571917758
CHL,2006,3.39201733699405,6.04999082563968
CHL,2007,4.40779938398043,5.16823098528431
CHL,2008,8.71626873039608,3.78939280635238
CHL,2009,0.353045178360933,-1.11803723642878
CHL,2010,1.41071107954321,5.85165102224047
CHL,2011,3.34121694259301,6.22389678509138
CHL,2012,3.00744840213053,6.15534001855494
CHL,2013,1.78955553984582,3.30850824710085
CHL,2014,4.71867527854673,1.79264947139259
CHL,2015,4.34877353217046,2.15194249981184
CHL,2016,3.78619355893118,1.753038749071
CHL,2017,2.18271846868521,1.35769537343957
CHL,2018,2.43488981353054,3.99002947789977
CHL,2019,2.55754475703329,0.634367533828438
CHL,2020,3.0454908480433,-6.14347479224092
CHL,2021,4.52456838259137,11.3149204879049
CHL,2022,11.643866711056,2.15399356192458
CHL,2023,7.58168251407967,0.521367977246825
CHL,2024,4.29763891572522,2.64431154871538
COL,1991,30.3878204854436,2.00160759559029
COL,1992,27.010626623136,4.04492943933556
COL,1993,22.4424828533275,5.38540993901029
COL,1994,22.8462417553045,5.81466190724336
COL,1995,20.8917930194849,5.20243759278655
COL,1996,20.7975755127402,2.05585471287195
COL,1997,18.4700217119089,3.43029367788374
COL,1998,18.6769799276672,0.569784088434517
COL,1999,10.8736870857471,-4.20401524244947
COL,2000,9.22534818585364,2.92486148176778
COL,2001,7.96556090304835,1.67789830787579
COL,2002,6.35150728778871,2.50398046659659
COL,2003,7.12978862941861,3.91827190322513
COL,2004,5.90402005546502,5.33302206759905
COL,2005,5.05101962689696,4.82876110773741
COL,2006,4.29342363628925,6.71686869844402
COL,2007,5.54438485815156,6.73819469090975
COL,2008,6.99688495554511,3.28344618616541
COL,2009,4.20251661216482,1.13964864548062
COL,2010,2.27200227892011,4.49465897070922
COL,2011,3.41503344776242,6.94789198173555
COL,2012,3.16930188840057,3.91263576716115
COL,2013,2.01699224310385,5.13399351995672
COL,2014,2.89883787761735,4.49903000110972
COL,2015,4.9898311584953,2.95590137527523
COL,2016,7.51346024627682,2.08738250162794
COL,2017,4.3143132569501,1.35936086788746
COL,2018,3.2405693293057,2.56432428277704
COL,2019,3.5230193274144,3.18685539245533
COL,2020,2.5266350008471,-7.18591413760859
COL,2021,3.49505757399449,10.8011981904878
COL,2022,10.1772313546166,7.32827729427979
COL,2023,11.735904494869,0.712380031974334
COL,2024,6.60908593728228,1.7438014504116
MEX,1991,22.662359455061,3.97590497138043
MEX,1992,15.5078962533573,3.56861354412243
MEX,1993,9.75146045357558,2.86699945461075
MEX,1994,6.96581237191122,4.39412788764169
MEX,1995,34.9992712889592,-5.91029962358286
MEX,1996,34.3783832235167,6.21829715869302
MEX,1997,20.6256287259247,7.19887615284711
MEX,1998,15.9283950119353,6.18507893082885
MEX,1999,16.5856169707538,2.75503039300564
MEX,2000,9.49156149435403,5.02928399378261
MEX,2001,6.36773806235037,-0.450845253215945
MEX,2002,5.03072733151295,-0.236588001922641
MEX,2003,4.54690012118718,1.18554486709559
MEX,2004,4.68840884843143,3.56544102622887
MEX,2005,3.98805714597437,2.11324711473297
MEX,2006,3.62946762439132,4.80501351664901
MEX,2007,3.96684905458234,2.0778639395329
MEX,2008,5.12498274575896,0.943331872912935
MEX,2009,5.29735584228857,-6.29525056697287
MEX,2010,4.15672722680173,4.97133457799899
MEX,2011,3.40737824605738,3.44404506308874
MEX,2012,4.11150981070296,3.55321075512755
MEX,2013,3.80639069747206,0.852101550164704
MEX,2014,4.01861608078671,2.50376349862891
MEX,2015,2.72064064964029,2.70232344844723
MEX,2016,2.82170784747655,1.77249323400358
MEX,2017,6.04145724018993,1.87172854186539
MEX,2018,4.89935015356547,1.97208207701884
MEX,2019,3.63596142127045,-0.392690505099296
MEX,2020,3.39683415570006,-8.35403456576364
MEX,2021,5.68920847683757,6.04848345704632
MEX,2022,7.89627619168551,3.71098893117183
MEX,2023,5.52796087314385,3.2953909570288
MEX,2024,4.72225588452935,1.4540624784799
PER,1991,3.36931095333853,2.2192591027909
PER,1992,3.36931095333853,-0.540509124723926
PER,1993,3.36931095333853,5.24357700773291
PER,1994,3.36931095333853,12.3083661848445
PER,1995,3.36931095333853,7.41139504735119
PER,1996,3.36931095333853,2.79897307912609
PER,1997,3.36931095333853,6.47682442079709
PER,1998,3.36931095333853,-0.391537555833821
PER,1999,3.36931095333853,1.49491064308833
PER,2000,3.36931095333853,2.69437139806912
PER,2001,3.36931095333853,0.617892325624297
PER,2002,3.36931095333853,5.45352893818767
PER,2003,3.36931095333853,4.16502313666112
PER,2004,3.36931095333853,4.95820320611745
PER,2005,3.36931095333853,6.28506032509601
PER,2006,3.36931095333853,7.5288990440594
PER,2007,3.36931095333853,8.5183877690955
PER,2008,3.36931095333853,9.1265683014642
PER,2009,3.36931095333853,1.0958236592427
PER,2010,3.36931095333853,8.33245910749577
PER,2011,3.36931095333853,6.32719240161117
PER,2012,3.61121294940168,6.13972470560435
PER,2013,2.76789666081998,5.85251821084928
PER,2014,3.41194579807468,2.38215737180541
PER,2015,3.39809194746301,3.25224477218451
PER,2016,3.55717663556283,3.95331871520767
PER,2017,2.99490045809443,2.51883544233135
PER,2018,1.50915423024742,3.969351341365
PER,2019,2.25212191358024,2.24063176875049
PER,2020,2.00241205759293,-10.9333065010382
PER,2021,4.27166381536798,13.3626240903125
PER,2022,8.33370630096233,2.8090335533015
PER,2023,6.45561348369583,-0.403242151494268
PER,2024,2.00770739412715,3.30394098171516
